,CVE_DOC,FECHA_DOC,NOMBRE_VENDEDOR,NOMBRE_CLIENTE,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
722,F38440,2022-06-23,AARON NUÑO CORDOVA,WOCO TECH DE MEXICO,30,EE00059,PRE-SEPARADOR CINTA 7.8 OHMSX 3MT LONG,810.0,0.0,117.09,8100.0,1170.9,692.91,6929.1
746,F38484,2022-06-29,ALFREDO CANELA,CHAMPIÑONES SAN MIGUEL,100,BOBINA002,BOBINA DSD CAL.17 12mmØx410mm 4000W 254V,369.5,18.14,18.14,36950.0,1813.59,351.36,35136.41
799,F38583,2022-07-12,ALFREDO CANELA,TE.MEX AUTOMOTIVE,54,CAS00083,CAS INOX 12.5MMØX125MM 300W 280V EXT1MT,607.1,0.0,131.45,32783.62,7098.51,475.65,25685.11
800,F38583,2022-07-12,ALFREDO CANELA,TE.MEX AUTOMOTIVE,27,CAS00084,CAS INOX 12.5MMØX165MM 300W 280V EXT.1MT,611.51,0.0,137.76,16510.82,3719.48,473.75,12791.35
832,F38638,2022-07-21,ALFREDO CANELA,CLAVOS NACIONALES C.N,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,429.81,429.81,38979.6,12894.24,869.51,26085.36
841,F38646,2022-07-22,ALFREDO CANELA,OSANIA CLEANING & SANITIZING,21,TUA00464,"TUB INOX ALETADA 7/16""ØX26CM 950W277V U",916.36,0.0,264.47,19243.56,5553.86,651.89,13689.7
888,F38762,2022-08-08,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,291.48,291.48,44259.0,8744.54,1183.82,35514.46
907,F38797,2022-08-11,ALFREDO CANELA,CLAVOS NACIONALES C.N,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,430.03,430.03,38979.6,12900.92,869.29,26078.68
922,F38826,2022-08-16,ALFREDO CANELA,OSANIA CLEANING & SANITIZING,21,TUA00464,"TUB INOX ALETADA 7/16""ØX26CM 950W277V U",916.36,264.47,264.47,19243.56,5553.86,651.89,13689.7
1093,F39174,2022-09-28,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,288.77,288.77,44259.0,8663.07,1186.53,35595.93
1098,F39183,2022-09-29,LETICIA RAMIREZ HERNANDEZ,PAULINO ARREDONDO CARDENAS,30,TUA00247,"TUB INOX 7/16""Øx950mm U 2777W 440V BUSHI",1102.75,0.0,751.86,33082.5,22555.72,350.89,10526.78
1247,F39494,2022-11-04,AARON NUÑO CORDOVA,TE.MEX AUTOMOTIVE,25,CAS00085,CAS INOX 12.5MMØX265MM 400W 280V EXT.1MT,984.15,0.0,203.69,24603.75,5092.2,780.46,19511.55
1361,F39719,2022-12-07,LETICIA RAMIREZ HERNANDEZ,ROSA MARIA HERNANDEZ AGUILAR,25,CBS00092,CBS INOX 20MMØX68CM 1200W 254V EXT.25CM,1457.2,0.0,461.49,36430.0,11537.18,995.71,24892.82
1397,F39794,2022-12-20,AARON NUÑO CORDOVA,TE.MEX AUTOMOTIVE,26,CAS00083,CAS INOX 12.5MMØX125MM 300W 280V EXT1MT,792.11,131.45,131.45,20594.86,3417.8,660.66,17177.06
